q_offset,i_offset,n_offset,m_offset,detectable_2.5,detectable_5.0,detectable_7.5,detectable_10.0,detectable_sum
-106.0,-1.2999999999999998,-1.2000000000000002,-1.1,0,0,0,1,1
-106.0,-1.2000000000000002,-1.1,-1.1,0,0,0,1,1
-106.0,-1.2000000000000002,-1.1,-1.2,0,0,0,1,1
-106.0,-0.7999999999999998,-0.7999999999999998,-1.1,0,0,0,1,1
-104.0,-2.5,-2.2,-1.2,0,0,0,1,1
-104.0,-2.4000000000000004,-2.1,-1.2,0,0,0,1,1
-104.0,-2.3,-2.0,-1.2,0,0,0,1,1
-104.0,-2.2,-1.9,-1.2,0,0,0,1,1
-104.0,-2.1,-1.8,-1.1,0,0,1,1,2
-104.0,-2.0,-1.7,-1.1,0,0,1,1,2
-104.0,-1.9,-1.7,-1.2,0,1,1,1,3
-104.0,-1.7999999999999998,-1.6,-1.2,0,0,1,1,2
-104.0,-1.7000000000000002,-1.5,-1.2,0,0,0,1,1
-104.0,-1.7000000000000002,-1.5,-1.1,0,0,1,1,2
-104.0,-1.6,-1.4,-1.1,0,0,1,1,2
-104.0,-1.2999999999999998,-1.2000000000000002,-1.2,0,1,1,1,3
-104.0,-1.2999999999999998,-1.2000000000000002,-1.1,0,0,1,1,2
-104.0,-1.2000000000000002,-1.1,-1.2,0,0,0,1,1
-104.0,-1.2000000000000002,-1.1,-1.1,0,0,1,1,2
-104.0,-0.7999999999999998,-0.7999999999999998,-1.1,0,0,1,1,2
-104.0,-0.7000000000000002,-0.7000000000000002,-1.2,0,0,0,1,1
-102.0,-2.5,-2.2,-1.1,0,1,1,1,3
-102.0,-2.5,-2.1,-1.1,0,0,1,1,2
-102.0,-2.4000000000000004,-2.1,-1.1,0,1,1,1,3
-102.0,-2.4000000000000004,-2.0,-1.1,0,0,0,1,1
-102.0,-2.3,-2.0,-1.1,0,0,1,1,2
-102.0,-2.2,-1.9,-1.1,0,0,1,1,2
-102.0,-2.1,-1.8,-1.1,0,1,1,1,3
-102.0,-2.0,-1.7,-1.1,0,0,1,1,2
-102.0,-1.9,-1.7,-1.2,0,0,0,1,1
-102.0,-1.9,-1.7,-1.1,0,0,0,1,1
