q_offset,i_offset,n_offset,m_offset,detectable_10.0
-52.0,0.3000000000000003,1.2000000000000002,0.6000000000000001,1
-52.0,0.3000000000000003,1.3000000000000005,0.6000000000000001,1
-50.0,-0.2,-1.2,-0.5,1
-50.0,-0.2,-1.2,-0.6,1
-50.0,-0.2,-1.1,0.30000000000000004,1
-50.0,-0.2,-1.1,-0.6,1
-50.0,-0.2,-1.1,-0.5,1
-50.0,-0.2,-1.0,-0.5,1
-50.0,-0.2,-1.0,-0.6,1
-50.0,-0.2,-1.0,0.30000000000000004,1
-50.0,-0.2,-0.8999999999999999,0.30000000000000004,1
-50.0,-0.2,-0.8999999999999999,-0.5,1
-50.0,-0.2,-0.8999999999999999,-0.6,1
-50.0,-0.2,-0.7999999999999998,0.30000000000000004,1
-50.0,-0.2,-0.7999999999999998,-0.5,1
-50.0,-0.2,-0.7,0.30000000000000004,1
-50.0,-0.2,-0.7,-0.5,1
-50.0,-0.2,-0.5999999999999999,-0.5,1
-50.0,-0.2,-0.5999999999999999,-0.3999999999999999,1
-50.0,-0.2,-0.5,-0.3999999999999999,1
-50.0,-0.2,-0.5,-0.5,1
-50.0,-0.2,-0.3999999999999999,-0.3999999999999999,1
-50.0,-0.2,-0.2999999999999998,-0.3999999999999999,1
-50.0,-0.09999999999999988,-0.8999999999999999,-0.5,1
-50.0,-0.09999999999999988,-0.7,-0.5,1
-50.0,-0.09999999999999988,-0.7999999999999998,-0.5,1
-50.0,-0.09999999999999988,-0.5999999999999999,-0.5,1
-50.0,-0.09999999999999988,-0.5,-0.5,1
-50.0,-0.09999999999999988,-0.5,0.4000000000000001,1
-50.0,-0.09999999999999988,-0.3999999999999999,-0.5,1
-50.0,-0.09999999999999988,-0.3999999999999999,-0.3999999999999999,1
-50.0,-0.09999999999999988,-0.3999999999999999,0.4000000000000001,1
-50.0,-0.09999999999999988,-0.2999999999999998,0.4000000000000001,1
-50.0,-0.09999999999999988,-0.2999999999999998,-0.5,1
-50.0,-0.09999999999999988,-0.2999999999999998,-0.3999999999999999,1
-50.0,-0.09999999999999988,-0.19999999999999973,-0.3999999999999999,1
-50.0,-0.09999999999999988,-0.19999999999999973,0.4000000000000001,1
-50.0,-0.09999999999999988,-0.09999999999999963,0.4000000000000001,1
