q_offset,i_offset,n_offset,m_offset,detectable_10.0
-78.0,-0.3999999999999999,-0.7999999999999998,-0.9,1
-76.0,-0.5,-1.1,-1.0,1
-76.0,-0.3999999999999999,-0.7999999999999998,-0.9,1
-76.0,0.3999999999999999,0.6999999999999997,0.8999999999999999,1
-74.0,-0.5,-1.1,-1.0,1
-74.0,-0.3999999999999999,-0.7999999999999998,-0.9,1
-74.0,-0.2999999999999998,-0.6000000000000001,-0.8,1
-74.0,0.3999999999999999,0.6999999999999997,0.8999999999999999,1
-72.0,-0.5,-1.1,-1.0,1
-72.0,-0.3999999999999999,-0.8999999999999999,-0.9,1
-72.0,-0.3999999999999999,-0.7999999999999998,-0.8,1
-72.0,-0.2999999999999998,-0.6000000000000001,-0.8,1
-72.0,0.10000000000000007,0.3000000000000003,0.7000000000000002,1
-72.0,0.2999999999999998,0.5000000000000004,0.8000000000000003,1
-72.0,0.2999999999999998,0.6000000000000001,0.8000000000000003,1
-72.0,0.5,0.8000000000000003,0.8999999999999999,1
-70.0,-0.5,-1.1,-0.9,1
-70.0,-0.3999999999999999,-0.8999999999999999,-0.9,1
-70.0,-0.3999999999999999,-0.7999999999999998,-0.8,1
-70.0,-0.2999999999999998,-0.6000000000000001,-0.8,1
-70.0,-0.20000000000000012,-0.3999999999999999,-0.7000000000000001,1
-70.0,0.20000000000000012,0.3999999999999999,0.7000000000000002,1
-70.0,0.2999999999999998,0.6000000000000001,0.8000000000000003,1
-70.0,0.3999999999999999,0.6999999999999997,0.8000000000000003,1
-70.0,0.5,0.8000000000000003,0.8999999999999999,1
-70.0,0.6000000000000001,0.8999999999999999,0.8999999999999999,1
-68.0,-0.6000000000000001,-1.4,-1.0,1
-68.0,-0.6000000000000001,-1.2999999999999998,-1.0,1
-68.0,-0.5,-1.1,-0.9,1
-68.0,-0.5,-1.0,-0.9,1
-68.0,-0.3999999999999999,-0.8999999999999999,-0.9,1
-68.0,-0.3999999999999999,-0.7999999999999998,-0.8,1
-68.0,-0.2999999999999998,-0.6999999999999997,-0.8,1
-68.0,-0.2999999999999998,-0.6000000000000001,-0.7000000000000001,1
-68.0,-0.20000000000000012,-0.3999999999999999,-0.7000000000000001,1
-68.0,0.20000000000000012,0.3999999999999999,0.7000000000000002,1
-68.0,0.2999999999999998,0.6000000000000001,0.8000000000000003,1
-68.0,0.3999999999999999,0.6000000000000001,0.8000000000000003,1
-68.0,0.3999999999999999,0.6999999999999997,0.8000000000000003,1
-66.0,-0.6000000000000001,-1.2999999999999998,-1.0,1
-66.0,-0.5,-1.1,-0.9,1
-66.0,-0.5,-1.0,-0.9,1
-66.0,-0.3999999999999999,-1.0,-0.9,1
-66.0,-0.3999999999999999,-0.8999999999999999,-0.8,1
-66.0,-0.3999999999999999,-0.7999999999999998,-0.8,1
-66.0,-0.2999999999999998,-0.6999999999999997,-0.8,1
-66.0,-0.2999999999999998,-0.6000000000000001,-0.7000000000000001,1
-66.0,-0.2999999999999998,-0.5,-0.6000000000000001,1
-66.0,-0.20000000000000012,-0.3999999999999999,-0.7000000000000001,1
-66.0,-0.10000000000000007,-0.19999999999999973,-0.6000000000000001,1
-66.0,0.10000000000000007,0.3000000000000003,0.6000000000000001,1
-66.0,0.20000000000000012,0.3999999999999999,0.7000000000000002,1
-66.0,0.20000000000000012,0.5000000000000004,0.7000000000000002,1
-66.0,0.2999999999999998,0.5000000000000004,0.7000000000000002,1
-66.0,0.2999999999999998,0.6000000000000001,0.7000000000000002,1
-66.0,0.2999999999999998,0.6000000000000001,0.8000000000000003,1
-66.0,0.3999999999999999,0.6999999999999997,0.8000000000000003,1
-66.0,0.5,0.8000000000000003,0.8000000000000003,1
-64.0,-0.5,-1.1999999999999995,-0.9,1
-64.0,-0.5,-1.1,-0.9,1
-64.0,-0.5,-1.1,-0.8,1
-64.0,-0.5,-1.0,-0.9,1
-64.0,-0.3999999999999999,-1.0,-0.9,1
-64.0,-0.3999999999999999,-0.8999999999999999,-0.8,1
-64.0,-0.3999999999999999,-0.7999999999999998,-0.7000000000000001,1
-64.0,-0.3999999999999999,-0.7999999999999998,-0.8,1
-64.0,-0.2999999999999998,-0.6999999999999997,-0.8,1
-64.0,-0.2999999999999998,-0.6000000000000001,-0.7000000000000001,1
-64.0,-0.2999999999999998,-0.5,-0.6000000000000001,1
-64.0,-0.20000000000000012,-0.5,-0.7000000000000001,1
-64.0,-0.20000000000000012,-0.3999999999999999,-0.6000000000000001,1
-64.0,-0.20000000000000012,-0.2999999999999998,-0.5,1
-64.0,-0.10000000000000007,-0.19999999999999973,-0.6000000000000001,1
-64.0,0.10000000000000007,0.20000000000000012,0.6000000000000001,1
-64.0,0.10000000000000007,0.3000000000000003,0.6000000000000001,1
-64.0,0.20000000000000012,0.3999999999999999,0.7000000000000002,1
-64.0,0.20000000000000012,0.5000000000000004,0.7000000000000002,1
-64.0,0.2999999999999998,0.5000000000000004,0.7000000000000002,1
-64.0,0.2999999999999998,0.6000000000000001,0.8000000000000003,1
-64.0,0.2999999999999998,0.6000000000000001,0.7000000000000002,1
-64.0,0.3999999999999999,0.6999999999999997,0.8000000000000003,1
-64.0,0.5,0.8000000000000003,0.8000000000000003,1
-62.0,-0.6000000000000001,-1.4,-0.9,1
-62.0,-0.6000000000000001,-1.2999999999999998,-0.9,1
-62.0,-0.5,-1.1999999999999995,-0.9,1
-62.0,-0.5,-1.1,-0.9,1
-62.0,-0.5,-1.1,-0.8,1
-62.0,-0.5,-1.0,-0.8,1
-62.0,-0.3999999999999999,-0.8999999999999999,-0.8,1
-62.0,-0.3999999999999999,-0.7999999999999998,-0.7000000000000001,1
-62.0,-0.3999999999999999,-0.7999999999999998,-0.8,1
-62.0,-0.3999999999999999,-0.6999999999999997,-0.7000000000000001,1
-62.0,-0.2999999999999998,-0.7999999999999998,-0.8,1
-62.0,-0.2999999999999998,-0.6999999999999997,-0.7000000000000001,1
-62.0,-0.2999999999999998,-0.6999999999999997,-0.8,1
