h_offset,i_offset,omega_offset,nu_offset,detectable_10.0
-76.0,0.20000000000000012,1.2999999999999998,0.9000000000000001,1
-74.0,-0.10000000000000007,-0.8999999999999999,-0.8,1
-74.0,-0.10000000000000007,-0.8,-0.8,1
-74.0,0.10000000000000007,0.7999999999999998,0.8,1
-74.0,0.10000000000000007,0.8999999999999999,0.8,1
-74.0,0.10000000000000007,1.0,0.8,1
-72.0,-0.10000000000000007,-1.1,-0.8,1
-72.0,-0.10000000000000007,-1.0,-0.8,1
-72.0,-0.10000000000000007,-0.8999999999999999,-0.8,1
-72.0,-0.10000000000000007,-0.5,-0.7,1
-72.0,0.0,0.3999999999999999,0.7,1
-72.0,0.0,0.5,0.7,1
-72.0,0.0,0.6000000000000001,0.7,1
-72.0,0.0,0.6999999999999997,0.7,1
-72.0,0.10000000000000007,0.8999999999999999,0.8,1
-72.0,0.10000000000000007,1.0,0.8,1
-70.0,-0.10000000000000007,-1.2,-0.8,1
-70.0,-0.10000000000000007,-1.1,-0.8,1
-70.0,-0.10000000000000007,-1.0,-0.8,1
-70.0,-0.10000000000000007,-0.7000000000000002,-0.7,1
-70.0,-0.10000000000000007,-0.6000000000000001,-0.7,1
-70.0,-0.10000000000000007,-0.5,-0.7,1
-70.0,0.0,0.5,0.7,1
-70.0,0.0,0.6000000000000001,0.7,1
-70.0,0.0,0.6999999999999997,0.7,1
-70.0,0.10000000000000007,0.5,0.7,1
-70.0,0.10000000000000007,0.8999999999999999,0.8,1
-70.0,0.10000000000000007,1.0,0.8,1
-70.0,0.20000000000000012,1.0999999999999996,0.8,1
-70.0,0.20000000000000012,1.1999999999999995,0.8,1
-70.0,0.20000000000000012,1.2999999999999998,0.8,1
-68.0,-0.20000000000000012,-0.7000000000000002,-0.7,1
-68.0,-0.20000000000000012,-0.6000000000000001,-0.6,1
-68.0,-0.20000000000000012,-0.5,-0.6,1
-68.0,-0.10000000000000007,-1.4,-0.8,1
-68.0,-0.10000000000000007,-1.3,-0.8,1
-68.0,-0.10000000000000007,-1.2,-0.8,1
-68.0,-0.10000000000000007,-1.1,-0.8,1
-68.0,-0.10000000000000007,-0.8999999999999999,-0.7,1
-68.0,-0.10000000000000007,-0.8,-0.7,1
-68.0,-0.10000000000000007,-0.7000000000000002,-0.7,1
-68.0,-0.10000000000000007,-0.6000000000000001,-0.7,1
-68.0,-0.10000000000000007,-0.2999999999999998,-0.6,1
-68.0,-0.10000000000000007,-0.20000000000000012,-0.6,1
-68.0,0.0,-0.6000000000000001,-0.7,1
-68.0,0.0,0.0,-0.6,1
-68.0,0.0,0.10000000000000007,0.6000000000000001,1
-68.0,0.0,0.19999999999999973,0.6000000000000001,1
-68.0,0.0,0.6000000000000001,0.7,1
-68.0,0.0,0.6999999999999997,0.7,1
-68.0,0.10000000000000007,0.5,0.7,1
-68.0,0.10000000000000007,0.6000000000000001,0.7,1
-68.0,0.10000000000000007,0.6999999999999997,0.7,1
